Survey,Code,Full,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,avg
1,bg,Bare Ground,30,70,15,1,10,15,6,13,20,5,70,50,10,83,70,10,44,50,15,55,50,10,40,50,40,12,15,70,85,15,25,50,50,47,40,15,20,5,20,50,20,20,65,75,25,40,20,15,35,78,20,20,50,10,70,15,80,15,15,63,43,5,60,20,5,58,44,68,20,85,8,20,10,64,35,10,23,20,20,70,7,80,65,5,43,74,85,62,55,75,10,40,20,5,79,65,20,10,5,70,35,23,60,15,,63,13,59,,10,,15,73,66,10,,,5,,80,,20,,,,,,5,,,30,,,,,40,,,50,,,,,,36.44537815
1,l,Litter,10,25,15,0,0,3,4,5,70,1,20,50,3,10,10,20,46,45,15,20,25,10,40,35,45,12,60,5,5,5,25,33,30,45,30,15,60,10,50,35,5,5,15,15,25,49,10,2,10,15,5,70,45,10,20,15,15,10,5,25,42,5,33,5,10,40,44,30,5,10,7,5,20,30,35,10,2,5,5,20,3,15,30,5,48,25,5,30,20,10,15,10,5,10,20,10,65,10,5,10,5,60,30,5,,20,7,15,,0,,80,20,30,10,,,5,,10,,10,,,,,,5,,,30,,,,,40,,,20,,,,,,20.45378151
1,v,Vegetation,60,5,70,99,90,82,90,82,10,94,10,0,87,7,20,70,10,5,70,25,25,80,20,15,15,76,25,25,10,80,50,17,20,7,30,70,20,85,30,12,75,75,20,10,50,10,70,83,65,7,75,10,5,80,10,70,5,75,80,10,15,90,5,75,85,2,10,2,75,5,85,75,70,5,30,80,75,75,75,10,90,4,5,90,8,1,10,7,25,15,75,50,75,85,1,25,15,80,90,20,60,17,10,80,,15,80,25,,90,,5,7,4,80,,,90,,10,,70,,,,,,90,,,40,,,,,10,,,30,,,,,,42.94957983
1,gs,Gravel/Stone,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,,,0,,0,,0,,,,,,0,,,0,,,,,10,,,0,,,,,,0.231404959
2,bg,Bare Ground,10,44,15,0,3,0,0,0,40,0,37,30,2,20,35,5,15,40,0,20,20,1,20,24,40,5,20,33,35,20,20,60,25,50,34,0,53,0,24,50,5,5,40,69,5,30,10,4,5,49,5,79,84,0,50,5,50,5,5,30,10,5,59,0,5,91,50,84,20,39,10,54,5,10,15,2,2,5,5,10,25,54,89,5,20,94,10,25,50,5,3,5,5,5,88,60,20,5,10,20,3,20,38,10,5,40,15,5,15,40,74,20,15,15,1,30,59,10,15,15,5,0,10,44,0,40,15,5,5,20,10,59,20,5,5,25,30,2,10,5,30,50,5,10,23.04861111
2,l,Litter,78,50,70,99,97,93,90,97,57,97,55,25,95,44,5,95,35,35,95,40,43,79,50,60,35,85,35,30,15,77,60,20,40,25,30,75,30,90,30,20,70,54,19,10,87,25,80,96,90,25,90,20,10,96,25,85,9,75,90,25,10,94,25,98,89,8,10,5,74,40,70,15,92,80,15,93,93,90,89,69,15,15,5,74,20,5,10,20,10,64,82,80,45,68,5,4,50,85,85,15,96,54,30,69,54,30,74,60,81,50,15,15,78,44,93,15,10,84,30,15,89,94,20,30,95,42,40,75,89,69,84,10,60,84,79,55,20,93,73,88,47,32,77,55,53.99305556
2,v,Vegetation,12,5,15,1,0,7,10,3,2,3,7,44,1,35,59,0,50,25,5,40,35,20,30,15,25,10,45,35,45,3,20,20,35,25,35,25,15,10,45,30,25,40,40,20,7,45,10,0,5,25,5,0,5,3,25,10,40,20,5,45,79,1,15,1,5,0,39,10,5,20,20,30,2,10,68,5,5,5,5,20,59,30,5,20,59,0,80,55,40,30,15,15,50,25,5,35,30,10,5,64,1,25,30,20,40,27,10,34,3,10,10,65,5,40,5,54,30,5,55,69,5,5,69,25,5,15,40,15,5,10,5,30,20,10,15,15,45,5,15,5,20,15,15,30,22.05555556
2,gs,Gravel/Stone,0,1,0,0,0,0,0,0,1,,1,1,2,1,1,0,0,0,0,0,2,0,0,1,0,0,0,2,5,0,0,0,0,0,1,0,2,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,2,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,2,2,1,0,0,0,1,0,1,2,1,1,3,1,1,1,0,1,0,2,1,1,1,1,1,0,1,1,1,1,1,0,3,5,5,1,1,1,1,0,1,1,5,5,0,2,2,3,3,3,5,0.909090909
3,bg,Bare Ground,0,20,5,15,15,1,1,5,0,1,10,15,25,10,20,1,10,5,10,5,5,10,2,10,3,5,15,20,10,1,0,20,10,10,5,1,0,10,0,20,2,5,10,25,5,0,10,40,10,5,2,20,0,5,5,5,0,1,0,10,45,30,5,10,5,10,5,5,0,10,0,20,15,20,5,30,10,5,0,0,5,5,10,10,25,5,15,20,5,5,10,5,5,5,15,10,20,45,15,25,30,5,0,10,5,10,0,10,5,0,0,15,0,5,5,10,5,5,15,5,5,15,30,5,5,0,5,10,0,10,10,30,30,15,5,5,10,5,5,20,10,15,5,10,9.590277778
3,l,Litter,2,0,15,20,40,45,20,30,20,15,25,20,30,30,5,1,5,10,15,5,10,10,5,2,5,20,20,3,5,5,0,5,5,10,10,10,5,10,5,5,25,25,5,5,5,0,5,30,10,5,2,5,0,0,1,2,5,5,5,5,5,10,5,30,20,5,5,5,0,5,5,0,20,30,20,10,45,10,0,0,10,15,5,0,10,2,15,5,5,,25,10,15,0,10,10,10,20,5,50,5,10,0,5,20,10,5,15,0,0,0,25,,0,15,0,10,5,5,10,5,10,45,30,0,0,10,,,0,0,5,20,5,15,5,15,5,5,5,5,15,10,10,10.42857143
