plot number,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
survey number,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
full treatment,,Jan_R_T_NPt,Jan_R_T_Pt,Nov_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_Pt,Nov_R_NT_Pt,Nov_R_T_Pt,Nov_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_Pt,Jan_R_T_Pt,Con,Nov_R_T_NPt,Jan_R_T_NPt,Jan_R_T_Pt,Nov_R_T_Pt,Jan_R_T_Pt,Jan_R_T_Pt,Nov_R_NT_Pt,Jan_R_T_NPt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_NT_NPt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_NT_Pt,Jan_R_NT_Pt,Jan_R_NT_NPt,Nov_R_NT_Pt,Nov_R_NT_NPt,Jan_R_T_NPt,Jan_R_T_Pt,Jan_R_NT_NPt,Jan_R_T_Pt,Nov_R_T_Pt,Con,Nov_R_T_Pt,Jan_R_NT_NPt,Jan_R_T_NPt,Nov_R_NT_NPt,Nov_R_T_Pt,Jan_R_T_NPt,Con,Nov_R_T_NPt,Jan_R_NT_NPt,Nov_R_T_Pt,Nov_R_NT_Pt,Nov_R_T_NPt,Jan_R_T_NPt,Nov_R_T_Pt,Con,Con,Nov_R_T_NPt,Jan_R_NT_NPt,Nov_R_T_NPt,Jan_R_NT_Pt,Nov_R_NT_Pt,Nov_R_NT_Pt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_T_Pt,Nov_R_T_NPt,Nov_R_NT_NPt,Con,Jan_R_T_NPt,Con,Nov_R_T_Pt,Jan_R_NT_NPt,Nov_R_NT_Pt,Jan_R_NT_NPt,Nov_R_T_Pt,Jan_R_NT_NPt,Jan_R_T_NPt,Nov_R_NT_NPt,Nov_R_NT_Pt,Nov_R_T_Pt,Nov_R_T_Pt,Nov_R_NT_Pt,Jan_R_T_NPt,Jan_R_T_Pt,Con,Nov_R_NT_Pt,Jan_R_T_NPt,Con,Jan_R_NT_Pt,Jan_R_T_Pt,Jan_R_T_Pt,Jan_R_NT_Pt,Nov_R_T_NPt,Nov_R_T_Pt,Nov_R_T_NPt,Nov_R_NT_NPt,Con,Jan_R_T_NPt,Jan_R_T_NPt,Nov_R_T_NPt,Nov_R_T_NPt,Con,Nov_R_T_Pt,Jan_R_T_Pt,Con,Nov_R_NT_NPt,Con,Jan_R_NT_NPt,Nov_R_NT_Pt,Jan_R_T_Pt,Nov_R_NT_Pt,Nov_R_NT_Pt,Jan_R_T_Pt,Jan_R_NT_Pt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_T_NPt,Jan_R_T_Pt,Jan_R_NT_NPt,Nov_R_NT_NPt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_T_Pt,Nov_R_T_NPt,Jan_R_T_NPt,Con,Nov_R_T_Pt,Con,Jan_R_T_NPt,Nov_R_NT_NPt,Nov_R_T_Pt,Nov_R_T_NPt,Jan_R_NT_NPt,Nov_R_T_NPt,Nov_R_NT_Pt,Nov_R_NT_NPt,Con,Jan_R_NT_Pt,Nov_R_NT_NPt,Nov_R_T_NPt,Jan_R_NT_Pt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_T_NPt,Jan_R_T_Pt,Nov_R_T_NPt,Jan_R_T_NPt,Jan_R_T_Pt,Nov_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_Pt,Nov_R_NT_Pt,Nov_R_T_Pt,Nov_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_Pt,Jan_R_T_Pt,Con,Nov_R_T_NPt,Jan_R_T_NPt,Jan_R_T_Pt,Nov_R_T_Pt,Jan_R_T_Pt,Jan_R_T_Pt,Nov_R_NT_Pt,Jan_R_T_NPt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_NT_NPt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_NT_Pt,Jan_R_NT_Pt,Jan_R_NT_NPt,Nov_R_NT_Pt,Nov_R_NT_NPt,Jan_R_T_NPt,Jan_R_T_Pt,Jan_R_NT_NPt,Jan_R_T_Pt,Nov_R_T_Pt,Con,Nov_R_T_Pt,Jan_R_NT_NPt,Jan_R_T_NPt,Nov_R_NT_NPt,Nov_R_T_Pt,Jan_R_T_NPt,Con,Nov_R_T_NPt,Jan_R_NT_NPt,Nov_R_T_Pt,Nov_R_NT_Pt,Nov_R_T_NPt,Jan_R_T_NPt,Nov_R_T_Pt,Con,Con,Nov_R_T_NPt,Jan_R_NT_NPt,Nov_R_T_NPt,Jan_R_NT_Pt,Nov_R_NT_Pt,Nov_R_NT_Pt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_T_Pt,Nov_R_T_NPt,Nov_R_NT_NPt,Con,Jan_R_T_NPt,Con,Nov_R_T_Pt,Jan_R_NT_NPt,Nov_R_NT_Pt,Jan_R_NT_NPt,Nov_R_T_Pt,Jan_R_NT_NPt,Jan_R_T_NPt,Nov_R_NT_NPt,Nov_R_NT_Pt,Nov_R_T_Pt,Nov_R_T_Pt,Nov_R_NT_Pt,Jan_R_T_NPt,Jan_R_T_Pt,Con,Nov_R_NT_Pt,Jan_R_T_NPt,Con,Jan_R_NT_Pt,Jan_R_T_Pt,Jan_R_T_Pt,Jan_R_NT_Pt,Nov_R_T_NPt,Nov_R_T_Pt,Nov_R_T_NPt,Nov_R_NT_NPt,Con,Jan_R_T_NPt,Jan_R_T_NPt,Nov_R_T_NPt,Nov_R_T_NPt,Con,Nov_R_T_Pt,Jan_R_T_Pt,Con,Nov_R_NT_NPt,Con,Jan_R_NT_NPt,Nov_R_NT_Pt,Jan_R_T_Pt,Nov_R_NT_Pt,Nov_R_NT_Pt,Jan_R_T_Pt,Jan_R_NT_Pt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_T_NPt,Jan_R_T_Pt,Jan_R_NT_NPt,Nov_R_NT_NPt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_T_Pt,Nov_R_T_NPt,Jan_R_T_NPt,Con,Nov_R_T_Pt,Con,Jan_R_T_NPt,Nov_R_NT_NPt,Nov_R_T_Pt,Nov_R_T_NPt,Jan_R_NT_NPt,Nov_R_T_NPt,Nov_R_NT_Pt,Nov_R_NT_NPt,Con,Jan_R_NT_Pt,Nov_R_NT_NPt,Nov_R_T_NPt,Jan_R_NT_Pt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_T_NPt,Jan_R_T_Pt,Nov_R_T_NPt,Jan_R_T_NPt,Jan_R_T_Pt,Nov_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_Pt,Nov_R_NT_Pt,Nov_R_T_Pt,Nov_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_Pt,Jan_R_T_Pt,Con,Nov_R_T_NPt,Jan_R_T_NPt,Jan_R_T_Pt,Nov_R_T_Pt,Jan_R_T_Pt,Jan_R_T_Pt,Nov_R_NT_Pt,Jan_R_T_NPt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_NT_NPt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_NT_Pt,Jan_R_NT_Pt,Jan_R_NT_NPt,Nov_R_NT_Pt,Nov_R_NT_NPt,Jan_R_T_NPt,Jan_R_T_Pt,Jan_R_NT_NPt,Jan_R_T_Pt,Nov_R_T_Pt,Con,Nov_R_T_Pt,Jan_R_NT_NPt,Jan_R_T_NPt,Nov_R_NT_NPt,Nov_R_T_Pt,Jan_R_T_NPt,Con,Nov_R_T_NPt,Jan_R_NT_NPt,Nov_R_T_Pt,Nov_R_NT_Pt,Nov_R_T_NPt,Jan_R_T_NPt,Nov_R_T_Pt,Con,Con,Nov_R_T_NPt,Jan_R_NT_NPt,Nov_R_T_NPt,Jan_R_NT_Pt,Nov_R_NT_Pt,Nov_R_NT_Pt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_T_Pt,Nov_R_T_NPt,Nov_R_NT_NPt,Con,Jan_R_T_NPt,Con,Nov_R_T_Pt,Jan_R_NT_NPt,Nov_R_NT_Pt,Jan_R_NT_NPt,Nov_R_T_Pt,Jan_R_NT_NPt,Jan_R_T_NPt,Nov_R_NT_NPt,Nov_R_NT_Pt,Nov_R_T_Pt,Nov_R_T_Pt,Nov_R_NT_Pt,Jan_R_T_NPt,Jan_R_T_Pt,Con,Nov_R_NT_Pt,Jan_R_T_NPt,Con,Jan_R_NT_Pt,Jan_R_T_Pt,Jan_R_T_Pt,Jan_R_NT_Pt,Nov_R_T_NPt,Nov_R_T_Pt,Nov_R_T_NPt,Nov_R_NT_NPt,Con,Jan_R_T_NPt,Jan_R_T_NPt,Nov_R_T_NPt,Nov_R_T_NPt,Con,Nov_R_T_Pt,Jan_R_T_Pt,Con,Nov_R_NT_NPt,Con,Jan_R_NT_NPt,Nov_R_NT_Pt,Jan_R_T_Pt,Nov_R_NT_Pt,Nov_R_NT_Pt,Jan_R_T_Pt,Jan_R_NT_Pt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_T_NPt,Jan_R_T_Pt,Jan_R_NT_NPt,Nov_R_NT_NPt,Jan_R_NT_NPt,Jan_R_NT_Pt,Nov_R_T_Pt,Nov_R_T_NPt,Jan_R_T_NPt,Con,Nov_R_T_Pt,Con,Jan_R_T_NPt,Nov_R_NT_NPt,Nov_R_T_Pt,Nov_R_T_NPt,Jan_R_NT_NPt,Nov_R_T_NPt,Nov_R_NT_Pt,Nov_R_NT_NPt,Con,Jan_R_NT_Pt,Nov_R_NT_NPt,Nov_R_T_NPt,Jan_R_NT_Pt,Jan_R_NT_Pt,Nov_R_NT_NPt,Jan_R_T_NPt,Jan_R_T_Pt,Nov_R_T_NPt
season,,Jan,Jan,Nov,Jan,Nov,Nov,Nov,Nov,Jan,Nov,Jan,c,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Jan,Jan,Nov,Jan,Jan,Jan,Nov,Nov,Jan,Jan,Jan,Jan,Nov,c,Nov,Jan,Jan,Nov,Nov,Jan,c,Nov,Jan,Nov,Nov,Nov,Jan,Nov,c,c,Nov,Jan,Nov,Jan,Nov,Nov,Jan,Jan,Nov,Jan,Nov,Nov,c,Jan,c,Nov,Jan,Nov,Jan,Nov,Jan,Jan,Nov,Nov,Nov,Nov,Nov,Jan,Jan,c,Nov,Jan,c,Jan,Jan,Jan,Jan,Nov,Nov,Nov,Nov,c,Jan,Jan,Nov,Nov,c,Nov,Jan,c,Nov,c,Jan,Nov,Jan,Nov,Nov,Jan,Jan,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Nov,Jan,c,Nov,c,Jan,Nov,Nov,Nov,Jan,Nov,Nov,Nov,c,Jan,Nov,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Nov,Nov,Nov,Nov,Jan,Nov,Jan,c,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Jan,Jan,Nov,Jan,Jan,Jan,Nov,Nov,Jan,Jan,Jan,Jan,Nov,c,Nov,Jan,Jan,Nov,Nov,Jan,c,Nov,Jan,Nov,Nov,Nov,Jan,Nov,c,c,Nov,Jan,Nov,Jan,Nov,Nov,Jan,Jan,Nov,Jan,Nov,Nov,c,Jan,c,Nov,Jan,Nov,Jan,Nov,Jan,Jan,Nov,Nov,Nov,Nov,Nov,Jan,Jan,c,Nov,Jan,c,Jan,Jan,Jan,Jan,Nov,Nov,Nov,Nov,c,Jan,Jan,Nov,Nov,c,Nov,Jan,c,Nov,c,Jan,Nov,Jan,Nov,Nov,Jan,Jan,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Nov,Jan,c,Nov,c,Jan,Nov,Nov,Nov,Jan,Nov,Nov,Nov,c,Jan,Nov,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Nov,Nov,Nov,Nov,Jan,Nov,Jan,c,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Jan,Jan,Nov,Jan,Jan,Jan,Nov,Nov,Jan,Jan,Jan,Jan,Nov,c,Nov,Jan,Jan,Nov,Nov,Jan,c,Nov,Jan,Nov,Nov,Nov,Jan,Nov,c,c,Nov,Jan,Nov,Jan,Nov,Nov,Jan,Jan,Nov,Jan,Nov,Nov,c,Jan,c,Nov,Jan,Nov,Jan,Nov,Jan,Jan,Nov,Nov,Nov,Nov,Nov,Jan,Jan,c,Nov,Jan,c,Jan,Jan,Jan,Jan,Nov,Nov,Nov,Nov,c,Jan,Jan,Nov,Nov,c,Nov,Jan,c,Nov,c,Jan,Nov,Jan,Nov,Nov,Jan,Jan,Jan,Jan,Nov,Jan,Jan,Nov,Jan,Jan,Nov,Nov,Jan,c,Nov,c,Jan,Nov,Nov,Nov,Jan,Nov,Nov,Nov,c,Jan,Nov,Nov,Jan,Jan,Nov,Jan,Jan,Nov
raking,,r,r,r,r,r,r,r,r,r,r,r,c,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,c,r,r,r,r,r,r,c,r,r,r,r,r,r,r,c,c,r,r,r,r,r,r,r,r,r,r,r,r,c,r,c,r,r,r,r,r,r,r,r,r,r,r,r,r,r,c,r,r,c,r,r,r,r,r,r,r,r,c,r,r,r,r,c,r,r,c,r,c,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,c,r,c,r,r,r,r,r,r,r,r,c,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,c,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,c,r,r,r,r,r,r,c,r,r,r,r,r,r,r,c,c,r,r,r,r,r,r,r,r,r,r,r,r,c,r,c,r,r,r,r,r,r,r,r,r,r,r,r,r,r,c,r,r,c,r,r,r,r,r,r,r,r,c,r,r,r,r,c,r,r,c,r,c,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,c,r,c,r,r,r,r,r,r,r,r,c,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,c,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,c,r,r,r,r,r,r,c,r,r,r,r,r,r,r,c,c,r,r,r,r,r,r,r,r,r,r,r,r,c,r,c,r,r,r,r,r,r,r,r,r,r,r,r,r,r,c,r,r,c,r,r,r,r,r,r,r,r,c,r,r,r,r,c,r,r,c,r,c,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,c,r,c,r,r,r,r,r,r,r,r,c,r,r,r,r,r,r,r,r,r
tamping,,t,t,nt,nt,nt,nt,t,nt,nt,nt,t,c,t,t,t,t,t,t,nt,t,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,t,t,nt,t,t,c,t,nt,t,nt,t,t,c,t,nt,t,nt,t,t,t,c,c,t,nt,t,nt,nt,nt,nt,nt,nt,t,t,nt,c,t,c,t,nt,nt,nt,t,nt,t,nt,nt,t,t,nt,t,t,c,nt,t,c,nt,t,t,nt,t,t,t,nt,c,t,t,t,t,c,t,t,c,nt,c,nt,nt,t,nt,nt,t,nt,nt,nt,t,t,nt,nt,nt,nt,t,t,t,c,t,c,t,nt,t,t,nt,t,nt,nt,c,nt,nt,t,nt,nt,nt,t,t,t,t,t,nt,nt,nt,nt,t,nt,nt,nt,t,c,t,t,t,t,t,t,nt,t,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,t,t,nt,t,t,c,t,nt,t,nt,t,t,c,t,nt,t,nt,t,t,t,c,c,t,nt,t,nt,nt,nt,nt,nt,nt,t,t,nt,c,t,c,t,nt,nt,nt,t,nt,t,nt,nt,t,t,nt,t,t,c,nt,t,c,nt,t,t,nt,t,t,t,nt,c,t,t,t,t,c,t,t,c,nt,c,nt,nt,t,nt,nt,t,nt,nt,nt,t,t,nt,nt,nt,nt,t,t,t,c,t,c,t,nt,t,t,nt,t,nt,nt,c,nt,nt,t,nt,nt,nt,t,t,t,t,t,nt,nt,nt,nt,t,nt,nt,nt,t,c,t,t,t,t,t,t,nt,t,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,t,t,nt,t,t,c,t,nt,t,nt,t,t,c,t,nt,t,nt,t,t,t,c,c,t,nt,t,nt,nt,nt,nt,nt,nt,t,t,nt,c,t,c,t,nt,nt,nt,t,nt,t,nt,nt,t,t,nt,t,t,c,nt,t,c,nt,t,t,nt,t,t,t,nt,c,t,t,t,t,c,t,t,c,nt,c,nt,nt,t,nt,nt,t,nt,nt,nt,t,t,nt,nt,nt,nt,t,t,t,c,t,c,t,nt,t,t,nt,t,nt,nt,c,nt,nt,t,nt,nt,nt,t,t,t
seed treatment,,npt,pt,npt,pt,pt,pt,pt,npt,pt,pt,pt,c,npt,npt,pt,pt,pt,pt,pt,npt,pt,npt,npt,npt,pt,npt,pt,pt,npt,pt,npt,npt,pt,npt,pt,pt,c,pt,npt,npt,npt,pt,npt,c,npt,npt,pt,pt,npt,npt,pt,c,c,npt,npt,npt,pt,pt,pt,npt,pt,npt,pt,npt,npt,c,npt,c,pt,npt,pt,npt,pt,npt,npt,npt,pt,pt,pt,pt,npt,pt,c,pt,npt,c,pt,pt,pt,pt,npt,pt,npt,npt,c,npt,npt,npt,npt,c,pt,pt,c,npt,c,npt,pt,pt,pt,pt,pt,pt,npt,pt,npt,pt,npt,npt,npt,pt,pt,npt,npt,c,pt,c,npt,npt,pt,npt,npt,npt,pt,npt,c,pt,npt,npt,pt,pt,npt,npt,pt,npt,npt,pt,npt,pt,pt,pt,pt,npt,pt,pt,pt,c,npt,npt,pt,pt,pt,pt,pt,npt,pt,npt,npt,npt,pt,npt,pt,pt,npt,pt,npt,npt,pt,npt,pt,pt,c,pt,npt,npt,npt,pt,npt,c,npt,npt,pt,pt,npt,npt,pt,c,c,npt,npt,npt,pt,pt,pt,npt,pt,npt,pt,npt,npt,c,npt,c,pt,npt,pt,npt,pt,npt,npt,npt,pt,pt,pt,pt,npt,pt,c,pt,npt,c,pt,pt,pt,pt,npt,pt,npt,npt,c,npt,npt,npt,npt,c,pt,pt,c,npt,c,npt,pt,pt,pt,pt,pt,pt,npt,pt,npt,pt,npt,npt,npt,pt,pt,npt,npt,c,pt,c,npt,npt,pt,npt,npt,npt,pt,npt,c,pt,npt,npt,pt,pt,npt,npt,pt,npt,npt,pt,npt,pt,pt,pt,pt,npt,pt,pt,pt,c,npt,npt,pt,pt,pt,pt,pt,npt,pt,npt,npt,npt,pt,npt,pt,pt,npt,pt,npt,npt,pt,npt,pt,pt,c,pt,npt,npt,npt,pt,npt,c,npt,npt,pt,pt,npt,npt,pt,c,c,npt,npt,npt,pt,pt,pt,npt,pt,npt,pt,npt,npt,c,npt,c,pt,npt,pt,npt,pt,npt,npt,npt,pt,pt,pt,pt,npt,pt,c,pt,npt,c,pt,pt,pt,pt,npt,pt,npt,npt,c,npt,npt,npt,npt,c,pt,pt,c,npt,c,npt,pt,pt,pt,pt,pt,pt,npt,pt,npt,pt,npt,npt,npt,pt,pt,npt,npt,c,pt,c,npt,npt,pt,npt,npt,npt,pt,npt,c,pt,npt,npt,pt,pt,npt,npt,pt,npt
Acmispon glaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acmispon maritimus var. maritimus,n,,,,,,x,x,,,x,,,x,,x,,,,x,,,,,,,,,x,,x,x,,,x,,,,,,,x,x,,,x,,x,,x,,x,,,,,x,,x,,,,,,,,,,,x,,x,,,,,,,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,x,,,x,x,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acmispon strigosus,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia californica,n,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,x,x,,,,x,,,x,x,,,,,,x,,,,x,,,,,,,,,,,,,x,,,,x,,,x,,,x,,,x,,,x,,,,x,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,x,x,,,,,,x,,,,,,,,,,,x,,,,,,,,x,x,,,,,,,x,x,,,,,,,,,,,,,,x,,,,,,,x,x,x,x,,,,,,,,,,,,,x,,,x,x,,,,,,,,,,,,,x,,,,,x,,,,,x,,,x,x,,x,,,,x,,x,x,
